loan_id,book_id,member_id,loan_date,return_date
1,920,532,2023-02-28,2024-07-19
2,912,663,2023-07-08,2024-08-14
3,309,891,2023-09-05,2024-02-23
4,250,447,2023-07-18,2024-05-05
5,46,372,2023-09-09,2024-07-18
6,645,554,2023-08-05,2024-07-24
7,998,900,2023-05-15,2024-07-13
8,819,119,2023-09-15,2024-08-19
9,906,757,2023-04-12,2024-09-02
10,840,605,2023-01-13,2024-02-01
11,606,92,2023-09-10,2024-08-16
12,732,843,2023-07-02,2024-06-21
13,588,79,2023-12-20,2024-08-27
14,449,95,2023-12-30,2024-04-07
15,970,828,2023-07-27,2024-04-05
16,410,721,2023-09-24,2024-08-19
17,942,442,2023-01-27,2024-07-13
18,729,642,2023-07-01,2024-05-25
19,545,673,2023-10-07,2024-07-30
20,141,68,2023-02-25,2024-04-19
21,883,798,2023-03-27,2024-04-13
22,484,4,2023-10-16,2024-05-06
23,297,151,2023-08-29,2024-03-29
24,502,634,2023-01-19,2024-11-08
25,122,244,2023-12-27,2024-12-24
26,631,751,2023-01-08,2024-04-20
27,426,489,2023-10-13,2024-10-01
28,87,938,2023-08-08,2024-11-21
29,445,739,2023-09-18,2024-01-22
30,845,327,2023-07-12,2024-03-27
31,801,652,2023-11-14,2024-07-25
32,199,269,2023-11-04,2024-11-12
33,441,123,2023-06-27,2024-05-25
34,867,988,2023-09-14,2024-08-16
35,574,971,2023-10-31,2024-09-15
36,20,65,2023-05-10,2024-04-02
37,94,19,2023-05-20,2024-05-13
38,491,524,2023-01-21,2024-03-16
39,183,45,2023-10-24,2024-10-10
40,36,195,2023-04-06,2024-09-10
41,927,341,2023-11-15,2024-06-14
42,205,420,2023-03-23,2024-12-15
43,168,381,2023-05-24,2024-01-12
44,574,710,2023-01-04,2024-10-07
45,940,486,2023-11-02,2024-03-13
46,711,257,2023-12-26,2024-06-11
47,480,491,2023-04-16,2024-10-21
48,602,251,2023-12-15,2024-03-28
49,861,883,2023-10-23,2024-06-02
50,729,747,2023-01-17,2024-02-08
51,66,226,2023-06-02,2024-12-15
52,288,748,2023-07-26,2024-11-30
53,638,342,2023-07-13,2024-04-07
54,893,544,2023-12-09,2024-08-31
55,665,175,2023-08-23,2024-11-10
56,871,462,2023-05-21,2024-05-02
57,532,960,2023-01-18,2024-10-02
58,347,107,2023-05-16,2024-01-06
59,198,846,2023-09-25,2024-12-05
60,927,942,2023-03-05,2024-08-28
61,699,430,2023-12-01,2024-09-17
62,288,408,2023-12-12,2024-01-01
63,855,52,2023-09-20,2024-12-01
64,546,186,2023-01-16,2024-11-28
65,235,783,2023-01-24,2024-12-30
66,224,979,2023-06-16,2024-05-30
67,812,963,2023-06-27,2024-01-28
68,753,820,2023-05-29,2024-04-13
69,698,143,2023-11-10,2024-10-15
70,450,505,2023-02-02,2024-07-22
71,439,330,2023-05-16,2024-03-08
72,435,474,2023-04-30,2024-02-15
73,627,249,2023-11-20,2024-07-15
74,778,655,2023-02-20,2024-07-27
75,985,540,2023-09-05,2024-08-15
76,944,262,2023-12-10,2024-05-21
77,470,199,2023-02-04,2024-03-20
78,473,709,2023-07-13,2024-03-30
79,170,416,2023-07-17,2024-01-29
80,428,13,2023-08-04,2024-05-05
81,400,831,2023-08-01,2024-08-30
82,90,654,2023-03-18,2024-08-04
83,775,287,2023-02-23,2024-10-28
84,264,550,2023-01-05,2024-12-01
85,679,481,2023-01-01,2024-02-02
86,830,568,2023-06-01,2024-04-30
87,877,376,2023-09-14,2024-08-10
88,640,473,2023-09-25,2024-03-07
89,185,474,2023-07-06,2024-01-06
90,25,79,2023-03-26,2024-07-12
91,793,713,2023-01-31,2024-08-25
92,255,61,2023-03-16,2024-09-27
93,634,978,2023-03-08,2024-09-13
94,982,596,2023-10-16,2024-06-29
95,184,779,2023-08-23,2024-06-15
96,802,352,2023-09-04,2024-03-05
97,929,728,2023-06-18,2024-11-14
98,150,590,2023-11-18,2024-12-07
99,170,656,2023-01-22,2024-03-28
100,964,562,2023-02-18,2024-08-20
101,400,198,2023-08-25,2024-12-21
102,821,824,2023-02-19,2024-01-16
103,424,830,2023-02-09,2024-09-22
104,345,673,2023-09-13,2024-05-13
105,671,525,2023-11-05,2024-12-28
106,304,151,2023-11-02,2024-11-02
107,494,502,2023-02-11,2024-02-29
108,605,836,2023-05-30,2024-04-26
109,520,303,2023-03-13,2024-06-10
110,428,966,2023-11-09,2024-08-30
111,645,752,2023-10-04,2024-06-08
112,800,191,2023-07-23,2024-07-20
113,790,168,2023-01-16,2024-06-11
114,909,618,2023-09-16,2024-08-20
115,535,650,2023-12-02,2024-05-21
116,409,949,2023-09-13,2024-04-08
117,790,687,2023-05-23,2024-10-04
118,961,465,2023-04-07,2024-10-26
119,604,447,2023-01-09,2024-07-15
120,391,228,2023-08-11,2024-09-08
121,283,154,2023-10-07,2024-08-25
122,575,576,2023-12-06,2024-05-24
123,25,783,2023-04-30,2024-12-29
124,303,970,2023-05-08,2024-01-21
125,180,885,2023-03-27,2024-05-23
126,813,860,2023-09-17,2024-08-19
127,808,183,2023-05-05,2024-09-12
128,174,567,2023-01-17,2024-10-03
129,433,984,2023-06-12,2024-03-27
130,462,96,2023-03-17,2024-08-01
131,296,807,2023-04-26,2024-11-15
132,39,626,2023-01-22,2024-07-14
133,937,299,2023-12-01,2024-09-22
134,113,444,2023-08-23,2024-11-16
135,631,712,2023-05-31,2024-11-10
136,735,201,2023-07-21,2024-08-07
137,974,49,2023-07-09,2024-10-09
138,337,784,2023-12-18,2024-02-08
139,969,217,2023-08-29,2024-07-28
140,397,595,2023-03-30,2024-12-05
141,212,525,2023-02-01,2024-02-14
142,197,749,2023-10-05,2024-05-21
143,16,136,2023-06-21,2024-02-01
144,815,376,2023-01-18,2024-09-09
145,202,853,2023-02-16,2024-11-03
146,922,460,2023-02-18,2024-12-28
147,248,923,2023-04-13,2024-10-23
148,127,566,2023-12-19,2024-02-01
149,967,749,2023-05-19,2024-08-02
150,466,147,2023-01-12,2024-05-07
151,770,443,2023-02-28,2024-01-14
152,890,813,2023-03-13,2024-06-26
153,669,489,2023-10-19,2024-03-10
154,913,893,2023-07-11,2024-08-22
155,664,846,2023-07-17,2024-05-02
156,658,601,2023-05-15,2024-03-04
157,902,70,2023-05-18,2024-07-17
158,646,277,2023-03-16,2024-04-29
159,676,709,2023-02-08,2024-12-23
160,990,199,2023-06-01,2024-09-12
161,656,688,2023-11-19,2024-04-24
162,292,430,2023-11-18,2024-01-22
163,612,384,2023-09-07,2024-06-09
164,784,853,2023-10-07,2024-08-24
165,32,389,2023-03-13,2024-04-17
166,564,197,2023-06-10,2024-08-29
167,744,42,2023-10-25,2024-01-19
168,745,166,2023-10-27,2024-08-23
169,940,89,2023-03-04,2024-12-17
170,680,981,2023-08-13,2024-02-12
171,374,505,2023-07-14,2024-04-08
172,224,254,2023-02-11,2024-03-19
173,639,732,2023-01-03,2024-12-22
174,978,154,2023-05-29,2024-05-27
175,609,938,2023-01-16,2024-01-18
176,298,776,2023-12-14,2024-02-19
177,263,793,2023-10-18,2024-10-19
178,898,339,2023-07-14,2024-06-28
179,496,237,2023-01-08,2024-01-10
180,826,522,2023-10-11,2024-10-16
181,689,352,2023-09-21,2024-05-09
182,543,970,2023-08-27,2024-07-12
183,788,673,2023-05-25,2024-08-02
184,779,480,2023-05-23,2024-09-02
185,859,259,2023-10-29,2024-09-07
186,652,153,2023-04-17,2024-04-23
187,593,917,2023-08-04,2024-12-19
188,621,433,2023-11-21,2024-11-27
189,514,875,2023-12-24,2024-07-23
190,829,126,2023-01-08,2024-05-30
191,602,117,2023-09-19,2024-05-17
192,895,712,2023-03-31,2024-09-18
193,576,327,2023-09-14,2024-03-16
194,592,946,2023-02-22,2024-08-12
195,761,329,2023-11-10,2024-10-14
196,390,519,2023-07-26,2024-12-06
197,810,502,2023-02-28,2024-06-13
198,336,931,2023-01-29,2024-04-11
199,29,954,2023-08-16,2024-06-26
200,353,232,2023-01-20,2024-05-18
201,207,787,2023-08-14,2024-08-26
202,403,995,2023-08-25,2024-09-28
203,59,572,2023-10-29,2024-06-29
204,238,724,2023-06-10,2024-12-13
205,321,192,2023-07-07,2024-01-21
206,722,258,2023-02-03,2024-08-18
207,372,203,2023-02-25,2024-03-05
208,549,107,2023-02-07,2024-05-01
209,593,125,2023-06-17,2024-01-10
210,128,701,2023-01-08,2024-10-15
211,995,475,2023-04-25,2024-01-02
212,709,828,2023-09-17,2024-11-12
213,937,470,2023-04-10,2024-06-07
214,95,261,2023-12-17,2024-07-07
215,334,62,2023-07-01,2024-07-27
216,183,826,2023-01-01,2024-07-22
217,852,655,2023-10-25,2024-03-14
218,493,743,2023-03-29,2024-02-17
219,903,548,2023-01-21,2024-07-22
220,434,581,2023-06-25,2024-12-07
221,853,27,2023-09-13,2024-03-18
222,221,126,2023-06-03,2024-03-01
223,205,650,2023-05-23,2024-02-10
224,213,682,2023-08-30,2024-09-10
225,973,141,2023-11-20,2024-10-20
226,22,894,2023-09-16,2024-04-30
227,488,312,2023-07-02,2024-06-20
228,16,720,2023-06-17,2024-10-24
229,113,665,2023-03-28,2024-01-07
230,931,445,2023-07-29,2024-10-11
231,528,252,2023-08-23,2024-01-12
232,134,290,2023-10-27,2024-02-03
233,722,220,2023-08-04,2024-11-16
234,71,675,2023-09-08,2024-02-03
235,195,898,2023-09-04,2024-07-22
236,95,619,2023-07-28,2024-12-18
237,353,462,2023-04-05,2024-03-17
238,442,274,2023-12-01,2024-10-11
239,415,559,2023-04-24,2024-01-01
240,715,370,2023-07-26,2024-04-09
241,885,98,2023-04-14,2024-12-23
242,123,491,2023-09-03,2024-09-05
243,40,631,2023-12-27,2024-08-16
244,505,962,2023-10-03,2024-07-05
245,677,272,2023-10-07,2024-09-19
246,217,343,2023-08-01,2024-12-11
247,645,270,2023-07-08,2024-04-16
248,622,634,2023-12-17,2024-08-17
249,961,149,2023-03-23,2024-05-06
250,664,946,2023-06-26,2024-12-16
251,39,771,2023-11-03,2024-04-14
252,724,810,2023-11-26,2024-06-05
253,570,624,2023-01-19,2024-12-26
254,345,842,2023-08-04,2024-08-03
255,693,816,2023-08-30,2024-01-22
256,809,785,2023-11-09,2024-08-06
257,933,896,2023-06-09,2024-01-10
258,807,403,2023-07-21,2024-11-24
259,320,248,2023-03-18,2024-10-21
260,470,617,2023-02-18,2024-01-21
261,325,742,2023-07-01,2024-02-15
262,222,518,2023-10-02,2024-10-14
263,888,359,2023-03-22,2024-07-14
264,901,263,2023-04-04,2024-11-27
265,722,519,2023-01-26,2024-05-21
266,902,342,2023-11-23,2024-04-24
267,594,875,2023-09-03,2024-04-17
268,473,154,2023-08-05,2024-06-09
269,236,663,2023-02-28,2024-03-26
270,968,850,2023-12-29,2024-10-26
271,135,432,2023-06-02,2024-06-19
272,298,665,2023-07-20,2024-08-08
273,685,768,2023-04-27,2024-10-04
274,785,339,2023-10-12,2024-10-07
275,501,248,2023-10-14,2024-01-28
276,814,702,2023-05-02,2024-04-14
277,965,976,2023-10-02,2024-10-10
278,36,396,2023-11-05,2024-09-13
279,508,540,2023-11-11,2024-10-31
280,22,542,2023-10-21,2024-03-27
281,947,716,2023-03-25,2024-07-21
282,556,147,2023-10-27,2024-09-14
283,897,613,2023-05-22,2024-09-02
284,455,329,2023-05-23,2024-03-17
285,549,391,2023-12-27,2024-12-23
286,667,829,2023-09-25,2024-12-04
287,74,668,2023-07-29,2024-04-20
288,897,145,2023-08-18,2024-05-11
289,217,804,2023-06-29,2024-11-08
290,613,340,2023-08-08,2024-01-08
291,584,557,2023-08-19,2024-02-23
292,722,822,2023-03-27,2024-09-08
293,641,174,2023-02-07,2024-03-03
294,792,400,2023-01-06,2024-12-22
295,804,997,2023-03-31,2024-04-08
296,708,921,2023-07-31,2024-09-05
297,471,30,2023-05-09,2024-05-19
298,288,167,2023-09-14,2024-07-09
299,39,431,2023-06-07,2024-11-08
300,445,814,2023-10-09,2024-07-22
301,96,172,2023-03-08,2024-09-21
302,333,232,2023-12-03,2024-05-02
303,238,480,2023-01-26,2024-08-28
304,992,31,2023-04-27,2024-02-15
305,183,519,2023-03-26,2024-11-11
306,64,439,2023-09-25,2024-10-18
307,299,43,2023-08-30,2024-01-27
308,563,885,2023-05-13,2024-01-09
309,573,602,2023-11-17,2024-06-12
310,260,32,2023-10-03,2024-05-03
311,38,626,2023-02-16,2024-05-21
312,851,840,2023-04-28,2024-08-27
313,994,534,2023-07-08,2024-12-11
314,925,842,2023-05-30,2024-07-10
315,568,941,2023-11-23,2024-05-31
316,732,820,2023-01-10,2024-12-17
317,880,321,2023-03-01,2024-02-11
318,18,204,2023-06-04,2024-09-30
319,172,998,2023-07-27,2024-12-27
320,752,525,2023-08-06,2024-10-14
321,84,658,2023-01-10,2024-09-21
322,566,516,2023-02-18,2024-01-06
323,940,677,2023-09-03,2024-03-07
324,629,185,2023-02-17,2024-04-07
325,57,146,2023-09-14,2024-02-08
326,344,842,2023-01-04,2024-10-30
327,603,570,2023-07-10,2024-09-26
328,27,552,2023-01-04,2024-05-09
329,868,125,2023-03-27,2024-07-10
330,3,242,2023-01-11,2024-06-25
331,385,536,2023-04-17,2024-07-26
332,75,166,2023-10-22,2024-04-01
333,945,272,2023-02-05,2024-06-12
334,368,231,2023-07-23,2024-04-06
335,717,928,2023-02-02,2024-10-18
336,699,525,2023-06-28,2024-11-15
337,515,909,2023-06-22,2024-02-03
338,126,925,2023-09-25,2024-06-06
339,14,668,2023-04-03,2024-07-26
340,914,876,2023-09-07,2024-06-05
341,37,792,2023-01-26,2024-11-29
342,333,885,2023-06-19,2024-04-24
343,553,453,2023-12-24,2024-01-14
344,471,804,2023-11-04,2024-12-15
345,246,464,2023-05-09,2024-09-20
346,51,141,2023-08-08,2024-11-04
347,652,307,2023-10-17,2024-05-06
348,906,263,2023-07-19,2024-04-26
349,908,628,2023-09-21,2024-01-19
350,837,767,2023-04-14,2024-04-02
351,318,304,2023-02-14,2024-10-11
352,22,864,2023-12-09,2024-05-18
353,801,20,2023-07-05,2024-04-15
354,772,563,2023-01-01,2024-06-30
355,72,177,2023-02-01,2024-08-13
356,306,694,2023-10-26,2024-10-20
357,864,423,2023-01-25,2024-10-24
358,324,341,2023-03-26,2024-07-11
359,916,985,2023-09-17,2024-12-26
360,942,94,2023-01-17,2024-04-06
361,111,315,2023-03-21,2024-01-04
362,511,784,2023-01-14,2024-12-12
363,46,501,2023-05-12,2024-04-06
364,966,487,2023-06-05,2024-02-12
365,743,404,2023-05-17,2024-07-23
366,559,823,2023-07-25,2024-03-19
367,385,631,2023-11-24,2024-02-19
368,258,769,2023-03-17,2024-10-31
369,922,633,2023-09-16,2024-03-12
370,782,999,2023-01-20,2024-12-04
371,131,370,2023-03-14,2024-09-05
372,994,421,2023-04-02,2024-07-01
373,354,381,2023-09-12,2024-03-01
374,899,722,2023-10-01,2024-02-03
375,137,755,2023-04-27,2024-03-30
376,570,13,2023-11-03,2024-12-03
377,864,656,2023-03-06,2024-11-21
378,227,793,2023-12-24,2024-07-20
379,891,517,2023-01-19,2024-08-28
380,213,59,2023-05-06,2024-04-16
381,668,443,2023-08-27,2024-07-16
382,48,245,2023-01-08,2024-11-10
383,279,861,2023-03-09,2024-02-14
384,66,810,2023-02-24,2024-09-24
385,52,330,2023-12-22,2024-04-06
386,565,542,2023-08-13,2024-08-31
387,413,561,2023-04-08,2024-02-25
388,415,803,2023-04-20,2024-07-14
389,353,423,2023-10-23,2024-02-06
390,655,383,2023-04-13,2024-07-21
391,77,787,2023-04-09,2024-08-15
392,492,693,2023-05-02,2024-01-11
393,727,498,2023-08-13,2024-12-23
394,222,570,2023-02-03,2024-09-02
395,593,952,2023-05-03,2024-08-14
396,830,969,2023-11-08,2024-01-14
397,883,704,2023-07-22,2024-11-22
398,906,23,2023-11-15,2024-11-05
399,273,465,2023-05-02,2024-10-25
400,734,38,2023-06-05,2024-09-24
401,766,450,2023-12-12,2024-09-04
402,553,358,2023-12-04,2024-04-30
403,227,11,2023-12-20,2024-11-30
404,807,891,2023-06-12,2024-11-18
405,63,210,2023-11-16,2024-08-31
406,551,93,2023-02-27,2024-03-02
407,457,424,2023-06-20,2024-10-13
408,382,898,2023-08-30,2024-10-22
409,953,757,2023-02-24,2024-11-11
410,523,748,2023-07-18,2024-11-07
411,158,102,2023-01-13,2024-04-16
412,629,649,2023-01-02,2024-04-16
413,342,906,2023-05-28,2024-12-20
414,817,361,2023-04-20,2024-06-08
415,712,288,2023-10-10,2024-09-13
416,854,332,2023-04-13,2024-05-06
417,642,378,2023-09-27,2024-08-21
418,416,522,2023-04-21,2024-06-22
419,617,481,2023-06-23,2024-07-30
420,422,221,2023-09-21,2024-06-16
421,959,738,2023-10-15,2024-06-15
422,750,37,2023-12-10,2024-03-26
423,796,562,2023-07-29,2024-05-09
424,43,974,2023-04-03,2024-07-29
425,708,987,2023-10-14,2024-05-10
426,89,178,2023-09-04,2024-06-23
427,623,961,2023-12-25,2024-06-18
428,645,658,2023-06-08,2024-06-29
429,203,249,2023-03-20,2024-01-17
430,167,540,2023-05-23,2024-10-10
431,219,35,2023-01-12,2024-09-02
432,497,222,2023-06-29,2024-10-09
433,715,595,2023-02-25,2024-03-15
434,961,305,2023-07-03,2024-10-30
435,872,977,2023-06-30,2024-11-23
436,696,947,2023-08-07,2024-12-29
437,832,149,2023-09-22,2024-12-01
438,667,186,2023-07-12,2024-07-21
439,977,329,2023-10-09,2024-01-20
440,83,73,2023-08-06,2024-01-23
441,78,654,2023-01-08,2024-05-15
442,512,822,2023-05-20,2024-10-20
443,287,41,2023-10-31,2024-07-01
444,906,459,2023-11-19,2024-02-06
445,40,956,2023-06-23,2024-05-23
446,160,897,2023-10-17,2024-10-06
447,264,989,2023-03-12,2024-08-30
448,524,915,2023-09-16,2024-11-16
449,594,12,2023-05-31,2024-02-21
450,98,5,2023-08-12,2024-02-08
451,451,911,2023-03-16,2024-10-18
452,391,782,2023-04-04,2024-11-09
453,662,111,2023-08-13,2024-10-05
454,606,53,2023-06-06,2024-04-16
455,757,30,2023-09-10,2024-10-25
456,771,356,2023-03-25,2024-12-27
457,460,734,2023-12-02,2024-01-30
458,159,374,2023-03-03,2024-02-21
459,115,515,2023-07-05,2024-08-10
460,773,107,2023-01-22,2024-04-05
461,729,109,2023-05-26,2024-02-18
462,545,342,2023-11-16,2024-04-04
463,906,219,2023-07-12,2024-11-25
464,736,226,2023-12-25,2024-09-10
465,593,85,2023-10-27,2024-03-25
466,167,756,2023-05-22,2024-12-12
467,870,622,2023-05-15,2024-11-21
468,173,151,2023-11-28,2024-10-10
469,939,78,2023-04-02,2024-08-29
470,747,751,2023-08-06,2024-06-22
471,794,635,2023-12-12,2024-04-16
472,210,680,2023-07-29,2024-02-24
473,765,678,2023-06-13,2024-03-13
474,809,614,2023-04-02,2024-01-11
475,503,534,2023-10-04,2024-12-04
476,733,763,2023-05-24,2024-07-18
477,419,380,2023-01-10,2024-10-04
478,888,667,2023-06-21,2024-11-16
479,496,82,2023-10-11,2024-08-24
480,581,223,2023-06-08,2024-04-09
481,539,822,2023-12-23,2024-03-26
482,174,55,2023-03-09,2024-06-26
483,228,356,2023-03-11,2024-03-18
484,925,837,2023-05-21,2024-09-17
485,511,315,2023-08-30,2024-12-18
486,75,552,2023-01-30,2024-02-16
487,889,654,2023-01-14,2024-06-09
488,491,660,2023-07-01,2024-10-03
489,929,418,2023-03-25,2024-07-22
490,211,490,2023-09-11,2024-03-25
491,958,249,2023-01-07,2024-11-03
492,572,701,2023-09-01,2024-09-14
493,899,700,2023-05-12,2024-02-23
494,893,200,2023-12-26,2024-10-05
495,337,937,2023-03-05,2024-03-01
496,596,354,2023-12-24,2024-07-04
497,548,859,2023-11-28,2024-01-23
498,370,930,2023-10-31,2024-02-29
499,798,861,2023-06-25,2024-02-17
500,785,356,2023-11-06,2024-05-04
